   NN30nlo_0112   NN30nlo_0113   NN30nlo_0114   NN30nlo_0115   NN30nlo_0116   NN30nlo_0117   NN30nlo_0118   NN30nlo_0119   NN30nlo_0120   NN30nlo_0121   NN30nlo_0122   NN30nlo_0123   NN30nlo_0124   NN30nlo_0125   NN30nlo_0126   NN30nlo_0127
     6.675e-01     6.780e-01     6.886e-01     6.992e-01     7.099e-01     7.207e-01     7.315e-01     7.424e-01     7.533e-01     7.643e-01     7.753e-01     7.864e-01     7.975e-01     8.087e-01     8.199e-01     8.312e-01
     3.313e-01     3.365e-01     3.417e-01     3.469e-01     3.521e-01     3.574e-01     3.627e-01     3.680e-01     3.734e-01     3.787e-01     3.841e-01     3.896e-01     3.950e-01     4.005e-01     4.060e-01     4.115e-01
     1.612e-01     1.636e-01     1.661e-01     1.687e-01     1.712e-01     1.737e-01     1.763e-01     1.788e-01     1.814e-01     1.840e-01     1.866e-01     1.892e-01     1.918e-01     1.944e-01     1.970e-01     1.997e-01
     7.757e-02     7.876e-02     7.994e-02     8.114e-02     8.234e-02     8.354e-02     8.476e-02     8.597e-02     8.719e-02     8.842e-02     8.965e-02     9.089e-02     9.213e-02     9.337e-02     9.462e-02     9.588e-02
     3.599e-02     3.653e-02     3.708e-02     3.762e-02     3.817e-02     3.872e-02     3.928e-02     3.983e-02     4.039e-02     4.095e-02     4.151e-02     4.208e-02     4.264e-02     4.321e-02     4.378e-02     4.436e-02
     1.627e-02     1.651e-02     1.676e-02     1.700e-02     1.725e-02     1.749e-02     1.774e-02     1.799e-02     1.824e-02     1.849e-02     1.874e-02     1.899e-02     1.925e-02     1.950e-02     1.976e-02     2.001e-02
     7.086e-03     7.190e-03     7.295e-03     7.400e-03     7.506e-03     7.612e-03     7.718e-03     7.825e-03     7.932e-03     8.040e-03     8.147e-03     8.256e-03     8.364e-03     8.473e-03     8.582e-03     8.692e-03
     2.974e-03     3.018e-03     3.061e-03     3.105e-03     3.149e-03     3.193e-03     3.237e-03     3.281e-03     3.326e-03     3.370e-03     3.415e-03     3.460e-03     3.504e-03     3.550e-03     3.595e-03     3.640e-03
     1.189e-03     1.206e-03     1.224e-03     1.241e-03     1.258e-03     1.275e-03     1.293e-03     1.310e-03     1.328e-03     1.345e-03     1.363e-03     1.381e-03     1.398e-03     1.416e-03     1.434e-03     1.452e-03
     4.533e-04     4.597e-04     4.662e-04     4.727e-04     4.792e-04     4.857e-04     4.923e-04     4.989e-04     5.055e-04     5.121e-04     5.187e-04     5.253e-04     5.320e-04     5.387e-04     5.454e-04     5.521e-04
     1.602e-04     1.624e-04     1.647e-04     1.669e-04     1.692e-04     1.715e-04     1.738e-04     1.760e-04     1.783e-04     1.806e-04     1.829e-04     1.852e-04     1.876e-04     1.899e-04     1.922e-04     1.945e-04
     5.253e-05     5.326e-05     5.399e-05     5.472e-05     5.546e-05     5.619e-05     5.693e-05     5.767e-05     5.841e-05     5.916e-05     5.990e-05     6.065e-05     6.140e-05     6.215e-05     6.290e-05     6.365e-05
     4.714e-06     4.778e-06     4.842e-06     4.907e-06     4.971e-06     5.036e-06     5.100e-06     5.165e-06     5.230e-06     5.295e-06     5.360e-06     5.426e-06     5.491e-06     5.557e-06     5.622e-06     5.688e-06
