MSTWnlo_0112  MSTWnlo_0113  MSTWnlo_0114  MSTWnlo_0115  MSTWnlo_0116  MSTWnlo_0117  MSTWnlo_0118  MSTWnlo_0119  MSTWnlo_0120  MSTWnlo_0121  MSTWnlo_0122  MSTWnlo_0123  MSTWnlo_0124  MSTWnlo_0125  MSTWnlo_0126  MSTWnlo_0127
2.387795e-01  2.418753e-01  2.450612e-01  2.483641e-01  2.518547e-01  2.554047e-01  2.589468e-01  2.624404e-01  2.662262e-01  2.698472e-01  2.737659e-01  2.779552e-01  2.825464e-01  2.879312e-01  2.966038e-01  3.012543e-01
1.305557e-01  1.321444e-01  1.337842e-01  1.354925e-01  1.373023e-01  1.391525e-01  1.409987e-01  1.428265e-01  1.448188e-01  1.467189e-01  1.487995e-01  1.510455e-01  1.535369e-01  1.565187e-01  1.615542e-01  1.640554e-01
7.067078e-02  7.146841e-02  7.229467e-02  7.316143e-02  7.408129e-02  7.502537e-02  7.597155e-02  7.690896e-02  7.793954e-02  7.892094e-02  8.000522e-02  8.119005e-02  8.252282e-02  8.415096e-02  8.703565e-02  8.836038e-02
3.787086e-02  3.826185e-02  3.866925e-02  3.909811e-02  3.955684e-02  4.002875e-02  4.050394e-02  4.097602e-02  4.150014e-02  4.199800e-02  4.255399e-02  4.317021e-02  4.387425e-02  4.475283e-02  4.638939e-02  4.708208e-02
1.999486e-02  2.018017e-02  2.037529e-02  2.058120e-02  2.080435e-02  2.103394e-02  2.126609e-02  2.149887e-02  2.175894e-02  2.200601e-02  2.228555e-02  2.260019e-02  2.296514e-02  2.343188e-02  2.434625e-02  2.470229e-02
1.036580e-02  1.045024e-02  1.053986e-02  1.063519e-02  1.073961e-02  1.084806e-02  1.095791e-02  1.106868e-02  1.119424e-02  1.131295e-02  1.144959e-02  1.160652e-02  1.179150e-02  1.203473e-02  1.253564e-02  1.271405e-02
5.276383e-03  5.313197e-03  5.352574e-03  5.394886e-03  5.441953e-03  5.491344e-03  5.541568e-03  5.592449e-03  5.651258e-03  5.706394e-03  5.771393e-03  5.847563e-03  5.939202e-03  6.062996e-03  6.331411e-03  6.418425e-03
2.594265e-03  2.608893e-03  2.624946e-03  2.642468e-03  2.662413e-03  2.683427e-03  2.705060e-03  2.727289e-03  2.753301e-03  2.777713e-03  2.807267e-03  2.842674e-03  2.886306e-03  2.947283e-03  3.086751e-03  3.127593e-03
1.238589e-03  1.243886e-03  1.249865e-03  1.256586e-03  1.264468e-03  1.272930e-03  1.281715e-03  1.290876e-03  1.301822e-03  1.312089e-03  1.324938e-03  1.340749e-03  1.360792e-03  1.389778e-03  1.459826e-03  1.478206e-03
5.684968e-04  5.701245e-04  5.720529e-04  5.743390e-04  5.771515e-04  5.802726e-04  5.835534e-04  5.870337e-04  5.913428e-04  5.953595e-04  6.006378e-04  6.073720e-04  6.162045e-04  6.293907e-04  6.632126e-04  6.710886e-04
